Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"FS","Suite of Food Security Indicators","710","South Africa","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2000","2000","Index","-0.23","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","710","South Africa","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2002","2002","Index","-0.25","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","710","South Africa","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2003","2003","Index","-0.31","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","710","South Africa","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2004","2004","Index","-0.13","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","710","South Africa","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2005","2005","Index","-0.16","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","710","South Africa","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2006","2006","Index","0.05","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","710","South Africa","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2007","2007","Index","0.22","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","710","South Africa","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2008","2008","Index","0.05","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","710","South Africa","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2009","2009","Index","-0.11","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","710","South Africa","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2010","2010","Index","-0.03","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","710","South Africa","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2011","2011","Index","0.02","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","710","South Africa","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2012","2012","Index","-0.03","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","710","South Africa","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2013","2013","Index","-0.05","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","710","South Africa","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2014","2014","Index","-0.15","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","710","South Africa","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2015","2015","Index","-0.21","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","710","South Africa","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2016","2016","Index","-0.14","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","710","South Africa","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2017","2017","Index","-0.28","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","710","South Africa","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2018","2018","Index","-0.23","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","710","South Africa","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2019","2019","Index","-0.27","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","710","South Africa","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2020","2020","Index","-0.24","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","710","South Africa","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2021","2021","Index","-0.71","X","Figure from international organizations",""
